Rok,RID,NAZEV,přihlášek,"""živých"" přihlášek",přihlášených,"""živých"" přihlášených",přijetí,přijatých,zápisů,zapsaných
2013,43410,Lesnická a dřevařská fakulta,963,858,805,723,680,579,494,491
2013,43510,Zahradnická fakulta (Lednice),1043,1010,774,756,524,444,378,378
2013,43900,celoškolská pracoviště,571,552,549,530,242,240,218,217
2013,51000,Akademie múzických umění v Praze,1309,1125,1177,1033,189,187,178,178
2013,51110,Hudební fakulta,297,253,288,246,85,85,78,78
2013,51210,Divadelní fakulta,434,348,386,321,44,43,42,42
2013,51310,Filmová a televizní fakulta,578,524,538,494,60,60,58,58
2013,53000,Vysoká škola umělecko-průmyslová v Praze,623,568,623,568,74,74,71,71
2013,54000,Janáčkova akademie múzických umění v Brně,421,361,404,351,118,116,109,109
2013,54510,Hudební fakulta,189,164,188,163,64,64,58,58
2013,54530,Divadelní fakulta,232,197,218,189,54,53,51,51
2013,55000,Vysoká škola polytechnická Jihlava,2991,2559,2556,2217,2013,1867,1526,1524
2013,56000,Vysoká škola technická a ekonomická v Českých Budějovicích,3331,3331,2947,2947,2448,2303,1592,1591
2013,61000,"Bankovní institut vysoká škola, a.s.",282,282,281,281,275,274,220,220
2013,62000,"EPI, s.r.o.",161,161,160,160,124,124,97,97
2013,63000,"Vysoká škola hotelová v Praze, s.r.o.",427,286,407,271,286,271,237,224
2013,64000,"Vysoká škola finanční a správní, o.p.s.",1080,761,1062,760,761,760,682,681
2013,65000,"Vysoká škola Karlovy Vary, o.p.s.",206,144,206,144,144,144,121,121
2013,66000,"ŠKODA AUTO VŠ, a.s.",310,310,306,306,194,193,194,193
2013,67000,"Literární akademie, s.r.o.",90,55,89,55,49,49,40,40
2013,68000,"Vysoká škola podnikání, a.s.",520,520,519,519,520,519,520,519
2013,6A000,"Vysoká škola aplikovaného práva, s.r.o.",56,56,56,56,47,47,47,47
2013,6B000,"Vysoká škola ekonomie a managementu, o.p.s.",671,580,634,548,580,548,480,449
2013,6D000,"University of New York in Prague, s.r.o",29,25,29,25,25,25,23,23
2013,6E000,"Vysoká škola manažerské informatiky, ekonomiky a práva, a.s.",585,396,569,390,396,390,325,319
2013,6F000,"Vysoká škola mezinárodních a veřejných vztahů Praha, o.p.s.",150,91,145,88,91,88,72,69
2013,6J000,Academia Rerum civilium,97,66,97,66,66,66,66,66
2013,6K000,"Vysoká škola evropských a regionálních studií, o.p.s.",225,165,224,164,165,164,165,164
2013,6M000,Vysoká škola regionálního rozvoje,50,47,50,47,45,45,44,44
2013,6N000,"Filmová akademie Miroslava Ondříčka v Písku, o.p.s.",57,56,57,56,42,42,38,38
2013,6P000,Vysoká škola tělesné výchovy a sportu Palestra,202,171,202,171,170,170,132,132
2013,6Q000,"Newton College, a.s.",279,249,268,239,238,228,224,214
2013,6R000,Vysoká škola logistiky o.p.s.,183,177,182,176,177,176,163,162
2013,6S000,"Vysoká škola zdravotnická, o.p.s.",350,327,348,327,325,325,314,314
2013,6T000,"B.I.B.S., a.s.",99,99,95,95,86,85,75,74
2013,71000,"Soukromá vysoká škola ekonomických studií, s. r. o.",67,57,66,56,56,55,50,49
2013,72000,"Vysoká škola obchodní v Praze, o.p.s.",1175,1175,1132,1132,1004,997,897,895
2013,73000,"Akademie STING, o.p.s",179,179,177,177,116,116,108,108
2013,75000,"Metropolitní univerzita Praha, o.p.s.",1451,877,1344,871,861,858,861,858
2013,76000,"Univerzita Jana Amose Komenského Praha, s.r.o.",2253,1651,2250,1651,1651,1651,1651,1651
2013,77000,"Vysoká škola Karla Engliše, a. s.",311,304,299,292,292,281,270,259
2013,78000,"Anglo-americká vysoká škola, o.p.s.",55,55,51,51,43,41,41,39
