"RID","Zkrác. název VŠ","Název organizace","Obec","Ulice","č.p.","WWW"
"79000","Pražská VŠ psychosoc. st.","Pražská vysoká škola psychosociálních studií, s.r.o.","Praha 4 - Háje","Hekrova 805","","www.pvsps.cz"
"7C000","Moravská VŠ Olomouc","Moravská vysoká škola Olomouc","Olomouc","třída Kosmonautů 1288/1","","www.mvso.cz"
"7D000","CEVRO","CEVRO Institut, z.ú.","Praha 1","Jungmannova 28/17","","www.cevroinstitut.cz"
"7E000","Unicorn VŠ","Unicorn Vysoká škola s.r.o.","Praha 3","V Kapslovně 2","2767","www.unicorncollege.cz"
"7J000","VŠSS Havířov","Vysoká škola PRIGO, z. ú.","Havířov - město","Vítězslava Nezvala 801/1","","www.vs-prigo.cz"
"7L000","Prague City Vysoká Škola","Prague City Vysoká Škola s.r.o.","Praha 4","Bítovská 5","","www.praguecityuniversity.cz"
"7M000","ARCHIP","Archip s.r.o.","Praha 7","Poupětova 3","","www.archip.eu"
"7N000","VŠ aplik. psych.","Vysoká škola aplikované psychologie , s.r.o.","Praha 5","Karlštejnská 11/30","","www.vsaps.cz"
"","","","místo výuky: Terezín, Nám. ČSA 85","","","","",""
"7P000","ŠKODA  AUTO VŠ o.p.s.","ŠKODA AUTO VYSOKÁ ŠKOLA, o.p.s.","Mladá Boleslav","Na Karmeli 1457","",""
"7R000","ART & DESIGN INSTITUT","ART & DESIGN INSTITUT, s.r.o.","Praha 3 - Vinohrady","Slezská 68","","www.artdesigninstitut.cz"
"7S000","PaE Praha","Panevropská univerzita, a.s.","Praha 1","Spálená 76/14","",""
"7T000","VŠKK Praha","Vysoká škola kreativní komunikace","Praha 2","Rašínovo nábřeží 383/58","","www.vskk.cz"
"7U000","VŠ finanční a správní","Vysoká škola finanční a správní, z.ú.","Praha 10","Estonská 500","3","www.vsfs.cz"
"7V000","VŠ  ek. a manag.","Vysoká škola ekonomie a managementu, a.s.","Praha 5","Nárožní 2600/9a","","www.vsem.cz"
"94000","Policejní akademie","Policejní akademie České republiky v Praze","Praha 4","Lhotecká 7","559",""
"94110","FBS","Fakulta bezpečnostně správní","Praha 4","Lhotecká 7","559",""
"94120","FBS","Fakulta bezpečnostního managementu","Praha 4","Lhotecká 7","559",""
"95000","Univerzita obrany","Univerzita obrany","Brno","Kounicova 65","",""
"95110","Univerzita obrany","Fakulta vojenských technologií","Brno","Kounicova 65","",""
"95120","Univerzita obrany","Fakulta ekonomiky a managementu","Brno","Kounicova 65","",""
"95210","Univerzita obrany","Fakulta vojenského zdravotnictví","Hradec Králové","Třebešská 1575","",""
